F,MSFT,FB,NFLX,GOOG  ,TSLA ,Ibov,SELIC,usd_brl,GOLD
12.277158395968,50.789487545407,117.87,94.67,715.09,224.78,53960.0,14.25,3.3025,143.0
12.443691064489,51.388260739515,117.93,95.97,720.64,224.65,54256.0,14.25,3.2744,140.0
12.471446509243,51.677989704406,116.78,96.43,716.98,222.53,54598.0,14.25,3.289,141.0
12.573216473339,51.900115244156,117.29,98.02,720.95,221.53,55480.0,14.25,3.2305,137.8
12.554712843503,51.861484715504,116.86,98.39,719.85,220.4,55578.0,14.25,3.265,139.89
12.628727362846,52.112583151743,119.37,98.81,733.78,226.25,56484.0,14.25,3.2628,138.5
12.628727362846,51.272369153559,120.61,85.84,736.96,225.26,56698.0,14.25,3.2795,139.1
12.711993697107,53.995821423535,121.92,87.91,741.19,228.36,56578.0,14.25,3.2506,136.52
12.878526365628,53.889587469741,120.61,85.99,738.63,220.5,56641.0,14.25,3.2579,139.0
12.804511846285,54.633225146295,121.0,85.89,742.74,222.27,57002.0,14.25,3.2848,137.9
12.795260031367,54.787747260904,121.63,87.66,739.77,230.01,56872.0,14.25,3.2813,138.01
12.961792699888,54.816720157393,121.22,91.41,738.42,229.51,56782.0,14.25,3.2784,137.33
12.943088814318,54.2662351241,123.34,92.04,741.77,228.49,56852.0,14.25,3.2814,139.0
11.886319279623,54.285550388426,125.0,91.65,745.91,230.61,56667.0,14.25,3.2734,140.5
11.839559565699,54.739459100089,123.94,91.25,768.79,234.79,57308.0,14.25,3.2384,140.3
11.67122459557,54.642882778458,124.31,94.37,772.88,230.01,56755.0,14.25,3.2656,141.2
11.166219685185,54.642882778458,123.09,93.56,771.07,227.2,56162.0,14.25,3.2484,142.3
11.343906598098,55.019530432817,122.51,93.1,773.18,225.79,57076.0,14.25,3.2727,140.3
11.297146884174,55.425150983664,124.36,93.44,771.61,230.61,57593.0,14.25,3.2177,140.0
11.400018254808,55.975636016957,125.15,97.03,782.22,230.03,57661.0,14.25,3.1853,135.0
11.390666312023,56.072212338588,125.26,95.11,781.76,226.16,57635.0,14.25,3.1765,136.1
11.512241568227,56.20741918887,125.06,93.99,784.26,229.08,57689.0,14.25,3.1497,134.9
11.456129911517,56.033581809936,124.88,93.93,784.68,225.65,56919.0,14.25,3.1296,134.6
11.512241568227,56.303995510501,124.9,95.89,784.85,224.91,58299.0,14.25,3.1358,135.5
11.530945453797,55.956320752631,124.88,96.59,783.22,225.61,58298.0,14.25,3.1596,136.0
11.624464881646,56.130158131566,123.9,95.31,782.44,225.59,59145.0,14.25,3.1666,134.5
