^GSPC,^DJI,F,MSFT,FB,NFLX,GOOG,TSLA,^BVSP,PETR4.SA,VALE3.SA,UGPA3.SA,ITSA3.SA,EZTC3.SA
103.07502354307283,102.12206192446946,110.13403916533812,109.1893636848921,,171.3593666715213,87.1613018104721,104.45156696366196,106.14021766641358,110.08475596676743,100.74905954293267,104.0084851100404,99.3055513834629,108.07267943444188
102.81505563735678,102.06769370764692,110.85565348664448,110.60886656395765,,173.629573663211,86.81715541120703,105.30626700557879,105.91411457015101,109.63852923797775,101.80245035417339,104.16032173286405,99.65274838348857,106.08470410591822
102.76807463737168,101.89983912458823,112.02825847338514,110.31000744116255,,166.38981771512934,87.18083894788188,103.52564022011401,106.42369020501138,109.63852923797775,104.63483566437112,107.34889947467889,99.65274838348857,106.8672377116509
103.68266996607427,102.57377027356698,111.21648502780718,111.6548215242664,,170.22425393464596,87.28903896618529,105.34188035639434,108.94625833122416,111.3342167229766,106.74157345583643,109.77830276489398,100.06947216989659,111.44597727593073
103.7962177379609,102.4846401122591,110.58507859179151,111.87894854320469,,171.6500525260172,87.93225456171903,107.72792052061924,108.99012908124526,109.46005050750716,106.67134364480948,110.23379530832804,100.06947216989659,112.04868193593647
105.31219854256622,103.74958733483646,115.36565766302576,112.96226955544186,,175.01384306364557,89.6184328932475,110.9330473759454,110.04302708175146,109.81702790352381,107.37357913934169,110.53748587901215,97.98617183402342,113.85522762142537
105.26755942355699,103.61165023765024,116.89904542991005,112.8128140093072,,178.91749460139,91.53604620265996,113.2478608385392,110.05483843752637,110.93261466057345,107.32676761408868,109.93013072519919,97.91662684214579,113.73532437612499
105.48055588798582,103.87840267092727,116.1774311086037,113.37314021823195,,177.0210503281305,91.18738840031723,112.53561419988456,111.22416265924238,114.23469046010952,107.30334932831474,111.14480638275145,100.0,114.69851643874011
105.70841612758797,103.92478343891496,115.8166727089696,114.53115868800982,,171.6500525260172,91.65026756303028,113.71082760658923,111.07905171686492,113.47612096922741,106.55428978538207,109.32276690886779,100.13884420956929,113.4938977465487
105.86424202011227,103.97729264397711,114.4636519516476,114.942055335537,,172.81285139018365,91.89221687216875,116.02564786173515,110.57116341854383,113.78847369885756,105.57116009303698,110.84115046214103,98.95827245870858,114.75929109198988
105.13522881037416,103.25754788314094,112.20864986345696,113.93348375031474,,171.5531695625592,91.05815051255985,110.75498741441979,107.98616384037796,104.8638892853754,103.76873478515851,109.01910232573893,100.0,114.63859721886945
105.85015249946568,103.84484593321879,113.11065557483514,114.23230822679375,,163.75969106865494,92.00342756150562,112.14387413346563,110.844511937906,,106.39044944699658,108.86726570291529,101.04165471931042,114.63859721886945
105.75070380692348,103.8790485987423,112.5694692143649,113.7434920143273,,170.3626845711016,91.63674256074236,118.12677442688351,109.74268117776091,103.56981383031743,103.58146363785161,108.25991921162073,100.0,120.18049644298488
105.1814259971347,103.09396272539631,111.66747569324151,112.99147639992555,,168.9645721070215,91.00555123545233,119.65811454919155,110.29781489918165,103.07897240267896,101.75560125947798,108.74579986966376,101.94449253729441,119.87996714358158
106.34112545638004,104.08715551271426,114.91464261708191,117.65402171405893,,168.75692615233802,91.14982406448692,121.72364814118075,111.60381338057877,106.5595568352988,102.13015607723928,111.60033357625923,98.61110276692578,120.48184229243184
106.5909133488745,104.45650806539342,115.00485050237259,117.50363071738923,,168.67386777046462,90.86729054153962,124.53704172264013,111.70842824601365,107.3181263261809,100.4915711077463,113.90826237070432,98.61110276692578,121.98783275629384
106.76553164139284,104.73737638457973,111.84786708331332,117.95482969213545,,156.40919061140875,91.08820198122409,122.9700814569644,111.06049101493294,106.73806546838259,102.66854497181228,117.5293596571098,99.3055513834629,120.78322702521422
106.94406900003403,104.72333927035523,110.31443055540994,118.36842009074044,,154.58195241534662,91.65778043019634,120.19230801887271,111.26803340926348,109.23693714311231,103.20694012795902,118.93409963126258,97.98617183402342,120.66249426875837
107.08893106611217,104.71172044685287,110.94587356218992,117.87962120143203,,151.45349395969285,91.56910834235768,119.72934125082266,110.083523158694,108.65682644762538,102.10675657618651,119.33990396905332,97.91662684214579,119.33718170344652
107.44835722306827,104.90216674910124,110.49484632599132,119.83488605129786,,156.86601171171236,92.93367887611926,120.405988123766,111.29503079389184,108.5675970499278,103.18352810375879,120.68220451045207,100.06947216989659,120.48184229243184
106.93937567938445,104.47425532597023,111.66747569324151,119.3460698388314,,153.28073215575498,92.91264100666527,118.98148126135249,111.04699232261875,108.47834771715476,101.9428724067849,121.7123512006727,99.3055513834629,120.42191011144936
107.59791260979598,104.70196063511088,114.1930892470494,121.41412577080474,,156.07697556597614,93.53631946478923,122.54273483228204,112.73095418881296,111.0218340907333,103.1132795080106,124.39693495843333,99.93050962460815,120.8431592061967
107.24867602475932,104.67994394922,114.73426341726487,120.62451890341985,,159.33002159444,93.3634958991346,121.22507481486728,114.37104530498607,112.89601027374047,104.04966655241381,123.30438348553234,99.3055513834629,122.59055037741138
106.83365648104568,104.56088054770267,112.38907782429308,119.57166066462548,,153.3914766649195,92.31151035698456,120.2635347205038,112.99080401586097,109.72777857075077,101.00656676284025,123.023423363176,98.1249887353498,127.28916078421206
